"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","city"
"1",2014-05-02,313000,3,1.5,1340,7912,1.5,"0","0","3",1340,NA,1955,"Shoreline"
"2",2014-05-02,2384000,5,2.5,3650,9050,2,"0","4","5",3370,280,1921,"Seattle"
"3",2014-05-02,342000,3,2,1930,11947,1,"0","0","4",1930,NA,1966,"Kent"
"4",2014-05-02,420000,3,2.25,2000,8030,1,"0","0","4",1000,1000,1963,"Bellevue"
"5",2014-05-02,550000,4,2.5,1940,10500,1,"0","0","4",1140,800,1976,"Redmond"
"6",2014-05-02,490000,2,1,880,6380,1,"0","0","3",880,NA,1938,"Seattle"
"7",2014-05-02,335000,2,2,1350,2560,1,"0","0","3",1350,NA,1976,"Redmond"
"8",2014-05-02,482000,4,2.5,2710,35868,2,"0","0","3",2710,NA,1989,"Maple Valley"
"9",2014-05-02,452500,3,2.5,2430,88426,1,"0","0","4",1570,860,1985,"North Bend"
"10",2014-05-02,640000,4,2,1520,6200,1.5,"0","0","3",1520,NA,1945,"Seattle"
"11",2014-05-02,463000,3,1.75,1710,7320,1,"0","0","3",1710,NA,1948,"Lake Forest Park"
"12",2014-05-02,1400000,4,2.5,2920,4000,1.5,"0","0","5",1910,1010,1909,"Seattle"
"13",2014-05-02,588500,3,1.75,2330,14892,1,"0","0","3",1970,360,1980,"Sammamish"
"14",2014-05-02,365000,3,1,1090,6435,1,"0","0","4",1090,NA,1955,"Seattle"
"15",2014-05-02,1200000,5,2.75,2910,9480,1.5,"0","0","3",2910,NA,1939,"Seattle"
"16",2014-05-02,242500,3,1.5,1200,9720,1,"0","0","4",1200,NA,1965,"Kent"
"17",2014-05-02,419000,3,1.5,1570,6700,1,"0","0","4",1570,NA,1956,"Bellevue"
"18",2014-05-02,367500,4,3,3110,7231,2,"0","0","3",3110,NA,1997,"Auburn"
"19",2014-05-02,257950,3,1.75,1370,5858,1,"0","0","3",1370,NA,1987,"Des Moines"
